No,Variable Name,Final Value,Reduced Cost,Objective Coeficient,Lower Range,Upper Range,month
31,_19M06Product_26PressingHydraulicPress_01,0.0,1.50000,1.50000,0.0,+Inf,19M06
32,_19M06Product_26PressingHydraulicPress_Subcon,0.0,3.00000,3.00000,0.0,+Inf,19M06
33,_19M06Product_27ClinchingClincher_02,0.0,4.34835,2.70000,-1.64835,+Inf,19M06
34,_19M06Product_27ClinchingClincher_Subcon,0.0,5.40000,5.40000,0.0,+Inf,19M06
35,_19M06Product_27PressingHydraulicPress_01,0.0,1.50000,1.50000,0.0,+Inf,19M06
36,_19M06Product_27PressingHydraulicPress_Subcon,0.0,3.00000,3.00000,0.0,+Inf,19M06
37,_19M06Product_28ClinchingClincher_02,0.0,5.33132,2.90000,-2.43132,+Inf,19M06
38,_19M06Product_28ClinchingClincher_Subcon,0.0,5.80000,5.80000,0.0,+Inf,19M06
39,_19M06Product_28HeatStakingHeatStake_05,0.0,3.60000,3.60000,0.0,+Inf,19M06
40,_19M06Product_28HeatStakingHeatStake_Subcon,0.0,7.20000,7.20000,0.0,+Inf,19M06
41,_19M06Product_28PressingHydraulicPress_01,0.0,1.20000,1.20000,0.0,+Inf,19M06
42,_19M06Product_28PressingHydraulicPress_Subcon,0.0,2.40000,2.40000,0.0,+Inf,19M06
43,_19M06Product_28TestingTester_05,0.0,1.20000,1.20000,0.0,+Inf,19M06
44,_19M06Product_28TestingTester_Subcon,0.0,2.40000,2.40000,0.0,+Inf,19M06
45,_19M06Product_29ClinchingClincher_02,0.0,5.33132,2.90000,-2.43132,+Inf,19M06
46,_19M06Product_29ClinchingClincher_Subcon,0.0,5.80000,5.80000,0.0,+Inf,19M06
47,_19M06Product_29HeatStakingHeatStake_05,0.0,3.60000,3.60000,0.0,+Inf,19M06
48,_19M06Product_29HeatStakingHeatStake_Subcon,0.0,7.20000,7.20000,0.0,+Inf,19M06
49,_19M06Product_29PressingHydraulicPress_01,0.0,1.20000,1.20000,0.0,+Inf,19M06
50,_19M06Product_29PressingHydraulicPress_Subcon,0.0,2.40000,2.40000,0.0,+Inf,19M06
51,_19M06Product_29TestingTester_05,0.0,2.60000,2.60000,0.0,+Inf,19M06
52,_19M06Product_29TestingTester_Subcon,0.0,5.20000,5.20000,0.0,+Inf,19M06
53,_19M06Product_37ClinchingClincher_02,100340.92857,0.0,1.50000,.48966,1.64271,19M06
54,_19M06Product_37ClinchingClincher_Subcon,29510.07143,0.0,3.00000,2.85729,4.01034,19M06
55,_19M06Product_37HeatStakingHeatStake_04,112695.65217,0.0,5.40000,-Inf,8.04000,19M06
56,_19M06Product_37HeatStakingHeatStake_06,0.0,1.76550,5.40000,3.63450,+Inf,19M06
57,_19M06Product_37HeatStakingHeatStake_Subcon,17155.34783,0.0,10.80000,8.16000,12.56550,19M06
58,_19M06Product_37PressingHydraulicPress_01,129851.00000,0.0,.30000,-Inf,.60000,19M06
59,_19M06Product_37PressingHydraulicPress_Subcon,0.0,.30000,.60000,.30000,+Inf,19M06
60,_19M06Product_37TestingTester_04,103645.84000,0.0,2.30000,2.21475,4.10000,19M06
61,_19M06Product_37TestingTester_06,26205.16000,0.0,2.30000,.50000,2.38525,19M06
62,_19M06Product_37TestingTester_Subcon,0.0,.50000,4.60000,4.10000,+Inf,19M06
63,_19M06Product_41ClinchingClincher_02,0.0,8.39011,1.50000,-6.89011,+Inf,19M06
64,_19M06Product_41ClinchingClincher_Subcon,28.00000,0.0,3.00000,-Inf,11.39011,19M06
65,_19M06Product_41HeatStakingHeatStake_04,0.0,37.66087,4.60000,-33.06087,+Inf,19M06
66,_19M06Product_41HeatStakingHeatStake_Subcon,28.00000,0.0,9.20000,-Inf,46.86087,19M06
67,_19M06Product_41PressingHydraulicPress_01,28.00000,0.0,.50000,-Inf,1.00000,19M06
68,_19M06Product_41PressingHydraulicPress_Subcon,0.0,.50000,1.00000,.50000,+Inf,19M06
69,_19M06Product_41TestingTester_04,28.00000,0.0,2.30000,-Inf,2.40400,19M06
70,_19M06Product_41TestingTester_Subcon,0.0,.10400,4.60000,4.49600,+Inf,19M06
71,_19M06Product_46ClinchingClincher_02,0.0,3.94835,2.30000,-1.64835,+Inf,19M06
72,_19M06Product_46ClinchingClincher_Subcon,0.0,4.60000,4.60000,0.0,+Inf,19M06
73,_19M06Product_46PressingHydraulicPress_01,0.0,1.80000,1.80000,0.0,+Inf,19M06
74,_19M06Product_46PressingHydraulicPress_Subcon,0.0,3.60000,3.60000,0.0,+Inf,19M06
75,_19M06Product_47ClinchingClincher_02,0.0,3.84835,2.20000,-1.64835,+Inf,19M06
76,_19M06Product_47ClinchingClincher_Subcon,0.0,4.40000,4.40000,0.0,+Inf,19M06
77,_19M06Product_47PressingHydraulicPress_01,0.0,1.90000,1.90000,0.0,+Inf,19M06
78,_19M06Product_47PressingHydraulicPress_Subcon,0.0,3.80000,3.80000,0.0,+Inf,19M06
79,_19M06Product_48ClinchingClincher_02,0.0,3.84835,2.20000,-1.64835,+Inf,19M06
80,_19M06Product_48ClinchingClincher_Subcon,0.0,4.40000,4.40000,0.0,+Inf,19M06
81,_19M06Product_48PressingHydraulicPress_01,0.0,1.90000,1.90000,0.0,+Inf,19M06
82,_19M06Product_48PressingHydraulicPress_Subcon,0.0,3.80000,3.80000,0.0,+Inf,19M06
83,_19M06Product_57ClinchingClincher_01,15022.00000,0.0,1.40000,-Inf,2.80000,19M06
84,_19M06Product_57ClinchingClincher_Subcon,0.0,1.40000,2.80000,1.40000,+Inf,19M06
85,_19M06Product_57HeatStakingHeatStake_06,0.0,10.91875,7.50000,-3.41875,+Inf,19M06
86,_19M06Product_57HeatStakingHeatStake_07,12005.83333,0.0,7.30000,6.90875,8.30268,19M06
87,_19M06Product_57HeatStakingHeatStake_08,3016.16667,0.0,7.30000,6.29732,7.69125,19M06
88,_19M06Product_57HeatStakingHeatStake_09,0.0,.91542,7.90000,6.98458,+Inf,19M06
89,_19M06Product_57HeatStakingHeatStake_Subcon,0.0,5.26875,14.60000,9.33125,+Inf,19M06
90,_19M06Product_57PressingHydraulicPress_01,15022.00000,0.0,.60000,-Inf,1.20000,19M06
91,_19M06Product_57PressingHydraulicPress_Subcon,0.0,.60000,1.20000,.60000,+Inf,19M06
92,_19M06Product_57TestingTester_06,0.0,3.72727,2.50000,-1.22727,+Inf,19M06
93,_19M06Product_57TestingTester_07,15022.00000,0.0,2.70000,-Inf,2.90000,19M06
94,_19M06Product_57TestingTester_08,0.0,.20000,2.90000,2.70000,+Inf,19M06
95,_19M06Product_57TestingTester_09,0.0,.30000,3.00000,2.70000,+Inf,19M06
96,_19M06Product_57TestingTester_Subcon,0.0,2.30000,5.00000,2.70000,+Inf,19M06
97,_19M06Product_58ClinchingClincher_01,0.0,1.40000,1.40000,0.0,+Inf,19M06
98,_19M06Product_58ClinchingClincher_Subcon,0.0,2.80000,2.80000,0.0,+Inf,19M06
99,_19M06Product_58HeatStakingHeatStake_06,0.0,20.25000,7.50000,-12.75000,+Inf,19M06
100,_19M06Product_58HeatStakingHeatStake_07,0.0,9.33125,7.30000,-2.03125,+Inf,19M06
101,_19M06Product_58HeatStakingHeatStake_08,0.0,9.33125,7.30000,-2.03125,+Inf,19M06
102,_19M06Product_58HeatStakingHeatStake_09,0.0,10.24667,7.90000,-2.34667,+Inf,19M06
103,_19M06Product_58HeatStakingHeatStake_Subcon,0.0,14.60000,14.60000,0.0,+Inf,19M06
104,_19M06Product_58PressingHydraulicPress_01,0.0,.60000,.60000,0.0,+Inf,19M06
105,_19M06Product_58PressingHydraulicPress_Subcon,0.0,1.20000,1.20000,0.0,+Inf,19M06
106,_19M06Product_58TestingTester_06,0.0,6.42727,2.50000,-3.92727,+Inf,19M06
107,_19M06Product_58TestingTester_07,0.0,2.70000,2.70000,0.0,+Inf,19M06
108,_19M06Product_58TestingTester_08,0.0,2.90000,2.90000,0.0,+Inf,19M06
109,_19M06Product_58TestingTester_09,0.0,3.00000,3.00000,0.0,+Inf,19M06
110,_19M06Product_58TestingTester_Subcon,0.0,5.00000,5.00000,0.0,+Inf,19M06
111,_19M06Product_59ClinchingClincher_01,11659.00000,0.0,1.40000,-Inf,2.80000,19M06
112,_19M06Product_59ClinchingClincher_Subcon,0.0,1.40000,2.80000,1.40000,+Inf,19M06
113,_19M06Product_59HeatStakingHeatStake_07,11659.00000,0.0,5.70000,-Inf,6.02604,19M06
114,_19M06Product_59HeatStakingHeatStake_08,0.0,.32604,6.00000,5.67396,+Inf,19M06
115,_19M06Product_59HeatStakingHeatStake_Subcon,0.0,4.00729,11.40000,7.39271,+Inf,19M06
116,_19M06Product_59PressingHydraulicPress_01,11659.00000,0.0,1.00000,-Inf,2.00000,19M06
117,_19M06Product_59PressingHydraulicPress_Subcon,0.0,1.00000,2.00000,1.00000,+Inf,19M06
118,_19M06Product_59TestingTester_07,11659.00000,0.0,2.90000,-Inf,3.50000,19M06
119,_19M06Product_59TestingTester_08,0.0,.60000,3.50000,2.90000,+Inf,19M06
120,_19M06Product_59TestingTester_Subcon,0.0,2.90000,5.80000,2.90000,+Inf,19M06
121,_19M06Product_60ClinchingClincher_01,17134.00000,0.0,1.40000,-Inf,2.80000,19M06
122,_19M06Product_60ClinchingClincher_Subcon,0.0,1.40000,2.80000,1.40000,+Inf,19M06
123,_19M06Product_60HeatStakingHeatStake_07,17134.00000,0.0,5.70000,-Inf,6.02604,19M06
124,_19M06Product_60HeatStakingHeatStake_08,0.0,.32604,6.00000,5.67396,+Inf,19M06
125,_19M06Product_60HeatStakingHeatStake_Subcon,0.0,4.00729,11.40000,7.39271,+Inf,19M06
126,_19M06Product_60PressingHydraulicPress_01,17134.00000,0.0,1.00000,-Inf,2.00000,19M06
127,_19M06Product_60PressingHydraulicPress_Subcon,0.0,1.00000,2.00000,1.00000,+Inf,19M06
128,_19M06Product_60TestingTester_07,17134.00000,0.0,2.90000,-Inf,3.50000,19M06
129,_19M06Product_60TestingTester_08,0.0,.60000,3.50000,2.90000,+Inf,19M06
130,_19M06Product_60TestingTester_Subcon,0.0,2.90000,5.80000,2.90000,+Inf,19M06
131,_19M06Product_66ClinchingClincher_02,0.0,4.09945,1.20000,-2.89945,+Inf,19M06
132,_19M06Product_66ClinchingClincher_Subcon,8791.00000,0.0,2.40000,-Inf,6.49945,19M06
133,_19M06Product_66HeatStakingHeatStake_07,0.0,.95877,8.00000,7.04123,+Inf,19M06
134,_19M06Product_66HeatStakingHeatStake_08,8791.00000,0.0,7.00000,-Inf,7.95877,19M06
135,_19M06Product_66HeatStakingHeatStake_Subcon,0.0,5.12500,14.00000,8.87500,+Inf,19M06
136,_19M06Product_66PressingHydraulicPress_01,8791.00000,0.0,.40000,-Inf,.80000,19M06
137,_19M06Product_66PressingHydraulicPress_Subcon,0.0,.40000,.80000,.40000,+Inf,19M06
138,_19M06Product_66TestingTester_07,8791.00000,0.0,1.20000,-Inf,1.50000,19M06
139,_19M06Product_66TestingTester_08,0.0,.30000,1.50000,1.20000,+Inf,19M06
140,_19M06Product_66TestingTester_Subcon,0.0,1.20000,2.40000,1.20000,+Inf,19M06
141,_19M06Product_67ClinchingClincher_02,0.0,4.09945,1.20000,-2.89945,+Inf,19M06
142,_19M06Product_67ClinchingClincher_Subcon,1706.00000,0.0,2.40000,-Inf,6.49945,19M06
143,_19M06Product_67HeatStakingHeatStake_07,0.0,.95877,8.00000,7.04123,+Inf,19M06
144,_19M06Product_67HeatStakingHeatStake_08,1706.00000,0.0,7.00000,-Inf,7.95877,19M06
145,_19M06Product_67HeatStakingHeatStake_Subcon,0.0,5.12500,14.00000,8.87500,+Inf,19M06
146,_19M06Product_67PressingHydraulicPress_01,1706.00000,0.0,.40000,-Inf,.80000,19M06
147,_19M06Product_67PressingHydraulicPress_Subcon,0.0,.40000,.80000,.40000,+Inf,19M06
148,_19M06Product_67TestingTester_07,1706.00000,0.0,1.20000,-Inf,1.50000,19M06
149,_19M06Product_67TestingTester_08,0.0,.30000,1.50000,1.20000,+Inf,19M06
150,_19M06Product_67TestingTester_Subcon,0.0,1.20000,2.40000,1.20000,+Inf,19M06
151,_19M06Product_69ClinchingClincher_02,316480.00000,0.0,2.40000,-Inf,3.64203,19M06
152,_19M06Product_69ClinchingClincher_Subcon,0.0,1.24203,4.80000,3.55797,+Inf,19M06
153,_19M06Product_69HeatStakingHeatStake_06,129600.00000,0.0,5.10000,-Inf,6.35658,19M06
154,_19M06Product_69HeatStakingHeatStake_Subcon,186880.00000,0.0,10.20000,8.94342,+Inf,19M06
155,_19M06Product_69PressingHydraulicPress_01,316480.00000,0.0,1.70000,-Inf,3.40000,19M06
156,_19M06Product_69PressingHydraulicPress_Subcon,0.0,1.70000,3.40000,1.70000,+Inf,19M06
157,_19M06Product_69TestingTester_06,86954.84000,0.0,1.80000,1.71475,2.50000,19M06
158,_19M06Product_69TestingTester_Subcon,229525.16000,0.0,3.60000,2.90000,3.68525,19M06
159,_19M06Product_70ClinchingClincher_02,73389.00000,0.0,1.80000,-Inf,2.52445,19M06
160,_19M06Product_70ClinchingClincher_Subcon,0.0,.72445,3.60000,2.87555,+Inf,19M06
161,_19M06Product_70HeatStakingHeatStake_06,0.0,3.51050,3.40000,-.11050,+Inf,19M06
162,_19M06Product_70HeatStakingHeatStake_Subcon,73389.00000,0.0,6.80000,-Inf,10.31050,19M06
163,_19M06Product_70PressingHydraulicPress_01,73389.00000,0.0,2.00000,-Inf,4.00000,19M06
164,_19M06Product_70PressingHydraulicPress_Subcon,0.0,2.00000,4.00000,2.00000,+Inf,19M06
165,_19M06Product_70TestingTester_06,0.0,.70000,1.10000,.40000,+Inf,19M06
166,_19M06Product_70TestingTester_Subcon,73389.00000,0.0,2.20000,-Inf,2.90000,19M06
167,_19M06Product_73ClinchingClincher_01,18601.00000,0.0,2.40000,-Inf,4.80000,19M06
168,_19M06Product_73ClinchingClincher_Subcon,0.0,2.40000,4.80000,2.40000,+Inf,19M06
169,_19M06Product_73HeatStakingHeatStake_04,0.0,4.59130,5.00000,.40870,+Inf,19M06
170,_19M06Product_73HeatStakingHeatStake_09,18601.00000,0.0,6.60000,-Inf,6.80000,19M06
171,_19M06Product_73HeatStakingHeatStake_Subcon,0.0,.20000,10.00000,9.80000,+Inf,19M06
172,_19M06Product_73PressingHydraulicPress_01,18601.00000,0.0,1.30000,-Inf,2.60000,19M06
173,_19M06Product_73PressingHydraulicPress_Subcon,0.0,1.30000,2.60000,1.30000,+Inf,19M06
174,_19M06Product_73TestingTester_04,0.0,2.16000,2.60000,.44000,+Inf,19M06
175,_19M06Product_73TestingTester_09,18601.00000,0.0,2.60000,-Inf,4.76000,19M06
176,_19M06Product_73TestingTester_Subcon,0.0,2.60000,5.20000,2.60000,+Inf,19M06
177,_19M06Product_74ClinchingClincher_01,13851.00000,0.0,2.40000,-Inf,4.80000,19M06
178,_19M06Product_74ClinchingClincher_Subcon,0.0,2.40000,4.80000,2.40000,+Inf,19M06
179,_19M06Product_74HeatStakingHeatStake_04,0.0,4.59130,5.00000,.40870,+Inf,19M06
180,_19M06Product_74HeatStakingHeatStake_09,13851.00000,0.0,6.60000,-Inf,6.80000,19M06
181,_19M06Product_74HeatStakingHeatStake_Subcon,0.0,.20000,10.00000,9.80000,+Inf,19M06
182,_19M06Product_74PressingHydraulicPress_01,13851.00000,0.0,1.30000,-Inf,2.60000,19M06
183,_19M06Product_74PressingHydraulicPress_Subcon,0.0,1.30000,2.60000,1.30000,+Inf,19M06
184,_19M06Product_74TestingTester_04,0.0,2.16000,2.60000,.44000,+Inf,19M06
185,_19M06Product_74TestingTester_09,13851.00000,0.0,2.60000,-Inf,4.76000,19M06
186,_19M06Product_74TestingTester_Subcon,0.0,2.60000,5.20000,2.60000,+Inf,19M06
187,_19M06Product_75ClinchingClincher_01,9008.00000,0.0,2.40000,-Inf,4.80000,19M06
188,_19M06Product_75ClinchingClincher_Subcon,0.0,2.40000,4.80000,2.40000,+Inf,19M06
189,_19M06Product_75HeatStakingHeatStake_04,0.0,7.99130,5.00000,-2.99130,+Inf,19M06
190,_19M06Product_75HeatStakingHeatStake_09,9008.00000,0.0,3.20000,-Inf,3.20000,19M06
191,_19M06Product_75HeatStakingHeatStake_Subcon,0.0,0.0,6.40000,6.40000,+Inf,19M06
192,_19M06Product_75PressingHydraulicPress_01,9008.00000,0.0,1.60000,-Inf,3.20000,19M06
193,_19M06Product_75PressingHydraulicPress_Subcon,0.0,1.60000,3.20000,1.60000,+Inf,19M06
194,_19M06Product_75TestingTester_04,0.0,2.16000,1.90000,-.26000,+Inf,19M06
195,_19M06Product_75TestingTester_09,9008.00000,0.0,1.90000,-Inf,3.80000,19M06
196,_19M06Product_75TestingTester_Subcon,0.0,1.90000,3.80000,1.90000,+Inf,19M06
197,_19M06Product_76ClinchingClincher_01,12833.00000,0.0,2.40000,-Inf,4.80000,19M06
198,_19M06Product_76ClinchingClincher_Subcon,0.0,2.40000,4.80000,2.40000,+Inf,19M06
199,_19M06Product_76HeatStakingHeatStake_04,0.0,7.99130,5.00000,-2.99130,+Inf,19M06
200,_19M06Product_76HeatStakingHeatStake_09,1740.00000,0.0,3.20000,3.20000,4.44830,19M06
201,_19M06Product_76HeatStakingHeatStake_Subcon,11093.00000,0.0,6.40000,5.15170,6.40000,19M06
202,_19M06Product_76PressingHydraulicPress_01,12833.00000,0.0,1.60000,-Inf,3.20000,19M06
203,_19M06Product_76PressingHydraulicPress_Subcon,0.0,1.60000,3.20000,1.60000,+Inf,19M06
204,_19M06Product_76TestingTester_04,0.0,2.16000,1.90000,-.26000,+Inf,19M06
205,_19M06Product_76TestingTester_09,12833.00000,0.0,1.90000,-Inf,3.80000,19M06
206,_19M06Product_76TestingTester_Subcon,0.0,1.90000,3.80000,1.90000,+Inf,19M06
207,_19M06Product_77ClinchingClincher_02,0.0,3.43626,2.20000,-1.23626,+Inf,19M06
208,_19M06Product_77ClinchingClincher_Subcon,0.0,4.40000,4.40000,0.0,+Inf,19M06
209,_19M06Product_77PressingHydraulicPress_01,0.0,1.80000,1.80000,0.0,+Inf,19M06
210,_19M06Product_77PressingHydraulicPress_Subcon,0.0,3.60000,3.60000,0.0,+Inf,19M06
211,_19M06Product_79ClinchingClincher_02,0.0,3.43626,2.20000,-1.23626,+Inf,19M06
212,_19M06Product_79ClinchingClincher_Subcon,0.0,4.40000,4.40000,0.0,+Inf,19M06
213,_19M06Product_79PressingHydraulicPress_01,0.0,1.80000,1.80000,0.0,+Inf,19M06
214,_19M06Product_79PressingHydraulicPress_Subcon,0.0,3.60000,3.60000,0.0,+Inf,19M06
215,_19M06Product_85ClinchingClincher_02,0.0,.23132,2.20000,1.96868,+Inf,19M06
216,_19M06Product_85ClinchingClincher_Subcon,305.00000,0.0,4.40000,-Inf,4.63132,19M06
217,_19M06Product_85HeatStakingHeatStake_05,305.00000,0.0,3.10000,-Inf,6.20000,19M06
218,_19M06Product_85HeatStakingHeatStake_Subcon,0.0,3.10000,6.20000,3.10000,+Inf,19M06
219,_19M06Product_85PressingHydraulicPress_01,305.00000,0.0,1.10000,-Inf,2.20000,19M06
220,_19M06Product_85PressingHydraulicPress_Subcon,0.0,1.10000,2.20000,1.10000,+Inf,19M06
221,_19M06Product_85TestingTester_05,305.00000,0.0,2.70000,-Inf,5.40000,19M06
222,_19M06Product_85TestingTester_Subcon,0.0,2.70000,5.40000,2.70000,+Inf,19M06
223,_19M06Product_86ClinchingClincher_02,0.0,.23132,2.20000,1.96868,+Inf,19M06
224,_19M06Product_86ClinchingClincher_Subcon,6456.00000,0.0,4.40000,-Inf,4.63132,19M06
225,_19M06Product_86HeatStakingHeatStake_05,6456.00000,0.0,3.10000,-Inf,6.20000,19M06
226,_19M06Product_86HeatStakingHeatStake_Subcon,0.0,3.10000,6.20000,3.10000,+Inf,19M06
227,_19M06Product_86PressingHydraulicPress_01,6456.00000,0.0,1.10000,-Inf,2.20000,19M06
228,_19M06Product_86PressingHydraulicPress_Subcon,0.0,1.10000,2.20000,1.10000,+Inf,19M06
229,_19M06Product_86TestingTester_05,6456.00000,0.0,2.70000,-Inf,5.40000,19M06
230,_19M06Product_86TestingTester_Subcon,0.0,2.70000,5.40000,2.70000,+Inf,19M06
1,_19M07Product_14ClinchingClincher_02,0.0,1.80000,1.80000,0.0,+Inf,19M07
2,_19M07Product_14ClinchingClincher_Subcon,0.0,3.60000,3.60000,0.0,+Inf,19M07
3,_19M07Product_14PressingHydraulicPress_01,0.0,.30000,.30000,0.0,+Inf,19M07
4,_19M07Product_14PressingHydraulicPress_Subcon,0.0,.60000,.60000,0.0,+Inf,19M07
5,_19M07Product_17ClinchingClincher_02,0.0,2.30000,2.30000,0.0,+Inf,19M07
6,_19M07Product_17ClinchingClincher_Subcon,0.0,4.60000,4.60000,0.0,+Inf,19M07
7,_19M07Product_17HeatStakingHeatStake_07,0.0,6.50000,6.50000,0.0,+Inf,19M07
8,_19M07Product_17HeatStakingHeatStake_08,0.0,5.80000,5.80000,0.0,+Inf,19M07
9,_19M07Product_17HeatStakingHeatStake_10,0.0,6.80000,6.80000,0.0,+Inf,19M07
10,_19M07Product_17HeatStakingHeatStake_Subcon,0.0,11.60000,11.60000,0.0,+Inf,19M07
11,_19M07Product_17PressingHydraulicPress_01,0.0,1.00000,1.00000,0.0,+Inf,19M07
12,_19M07Product_17PressingHydraulicPress_Subcon,0.0,2.00000,2.00000,0.0,+Inf,19M07
13,_19M07Product_17TestingTester_07,0.0,3.00000,3.00000,0.0,+Inf,19M07
14,_19M07Product_17TestingTester_08,0.0,2.00000,2.00000,0.0,+Inf,19M07
15,_19M07Product_17TestingTester_10,0.0,1.10000,1.10000,0.0,+Inf,19M07
16,_19M07Product_17TestingTester_Subcon,0.0,2.20000,2.20000,0.0,+Inf,19M07
17,_19M07Product_22ClinchingClincher_02,67.00000,0.0,2.70000,-Inf,5.40000,19M07
18,_19M07Product_22ClinchingClincher_Subcon,0.0,2.70000,5.40000,2.70000,+Inf,19M07
19,_19M07Product_22HeatStakingHeatStake_06,67.00000,0.0,4.50000,-Inf,9.00000,19M07
20,_19M07Product_22HeatStakingHeatStake_Subcon,0.0,4.50000,9.00000,4.50000,+Inf,19M07
21,_19M07Product_22PressingHydraulicPress_01,67.00000,0.0,1.50000,-Inf,3.00000,19M07
22,_19M07Product_22PressingHydraulicPress_Subcon,0.0,1.50000,3.00000,1.50000,+Inf,19M07
23,_19M07Product_22TestingTester_06,67.00000,0.0,3.00000,-Inf,6.00000,19M07
24,_19M07Product_22TestingTester_Subcon,0.0,3.00000,6.00000,3.00000,+Inf,19M07
25,_19M07Product_25ClinchingClincher_02,0.0,2.40000,2.40000,0.0,+Inf,19M07
26,_19M07Product_25ClinchingClincher_Subcon,0.0,4.80000,4.80000,0.0,+Inf,19M07
27,_19M07Product_25PressingHydraulicPress_01,0.0,.60000,.60000,0.0,+Inf,19M07
28,_19M07Product_25PressingHydraulicPress_Subcon,0.0,1.20000,1.20000,0.0,+Inf,19M07
29,_19M07Product_26ClinchingClincher_02,0.0,2.70000,2.70000,0.0,+Inf,19M07
30,_19M07Product_26ClinchingClincher_Subcon,0.0,5.40000,5.40000,0.0,+Inf,19M07
31,_19M07Product_26PressingHydraulicPress_01,0.0,1.50000,1.50000,0.0,+Inf,19M07
32,_19M07Product_26PressingHydraulicPress_Subcon,0.0,3.00000,3.00000,0.0,+Inf,19M07
33,_19M07Product_27ClinchingClincher_02,0.0,2.70000,2.70000,0.0,+Inf,19M07
34,_19M07Product_27ClinchingClincher_Subcon,0.0,5.40000,5.40000,0.0,+Inf,19M07
35,_19M07Product_27PressingHydraulicPress_01,0.0,1.50000,1.50000,0.0,+Inf,19M07
36,_19M07Product_27PressingHydraulicPress_Subcon,0.0,3.00000,3.00000,0.0,+Inf,19M07
37,_19M07Product_28ClinchingClincher_02,0.0,2.90000,2.90000,0.0,+Inf,19M07
38,_19M07Product_28ClinchingClincher_Subcon,0.0,5.80000,5.80000,0.0,+Inf,19M07
39,_19M07Product_28HeatStakingHeatStake_05,0.0,3.60000,3.60000,0.0,+Inf,19M07
40,_19M07Product_28HeatStakingHeatStake_Subcon,0.0,7.20000,7.20000,0.0,+Inf,19M07
41,_19M07Product_28PressingHydraulicPress_01,0.0,1.20000,1.20000,0.0,+Inf,19M07
42,_19M07Product_28PressingHydraulicPress_Subcon,0.0,2.40000,2.40000,0.0,+Inf,19M07
43,_19M07Product_28TestingTester_05,0.0,1.20000,1.20000,0.0,+Inf,19M07
44,_19M07Product_28TestingTester_Subcon,0.0,2.40000,2.40000,0.0,+Inf,19M07
